"ID","PROLIFIC_PID","counterScenarios","vignette_order_position","vignette_id","condition_FutureSociety","pe1","pe2","pe3","pe4","att_ideal","att_beneficial","att_utopian","att_desirable","att_innovative","att_live_in","para_countclicks","time_run","time_render","time_show"
3,"6a08b810d807f5805aabe02e",0,1,"religious","religious","2","2","5","5","2","2","1","2","2","2",2,399052.5,399058.058,399058.058
3,"6a08b810d807f5805aabe02e",1,2,"primitivist","primitivist","5","5","5","5","5","5","5","5","4","5",0,485900.599999964,485905.23,485921.6
3,"6a08b810d807f5805aabe02e",2,3,"moderngreen","moderngreen","7","7","7","7","7","7","7","7","7","7",0,591297.699999988,591303.598,591304.2
3,"6a08b810d807f5805aabe02e",3,4,"anarchic","anarchic","6","6","6","6","6","5","5","6","4","5",1,823172.800000012,823183.224,823183.3
3,"6a08b810d807f5805aabe02e",4,5,"futurist","futurist","7","7","6","7","7","7","7","7","7","7",0,950808,950813.764,950814.4
3,"6a08b810d807f5805aabe02e",5,6,"aicentered","aicentered","6","6","6","6","3","3","3","5","4","2",0,992931.599999964,992929.798,992946.7
3,"6a08b810d807f5805aabe02e",6,7,"lawBased","lawBased","6","6","6","6","6","6","5","6","4","6",1,1042286,1042279.866,1042295.2
4,"67103e4ed56cde03a0f2476b",0,1,"anarchic","anarchic","6","4","5","4","4","5","4","5","6","5",0,579619,579623.332,579623.332
4,"67103e4ed56cde03a0f2476b",1,2,"religious","religious","4","4","3","3","2","3","3","3","5","2",0,620408.599999905,620415.1,620425.2
4,"67103e4ed56cde03a0f2476b",2,3,"aicentered","aicentered","2","2","1","2","2","2","2","1","2","2",0,654098.5,654097.7,654107.7
4,"67103e4ed56cde03a0f2476b",3,4,"futurist","futurist","5","4","4","4","4","5","5","6","6","5",0,684372.800000191,684379,684389
4,"67103e4ed56cde03a0f2476b",4,5,"moderngreen","moderngreen","5","5","5","6","4","4","5","4","6","5",2,714806.5,714810.3,714820.3
4,"67103e4ed56cde03a0f2476b",5,6,"lawBased","lawBased","6","4","5","5","4","4","5","5","5","5",2,783048.099999905,783055.7,783065.8
